Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,L2L1A,Ethernet1,l3spine,SPL1,Ethernet3,True
leaf,L2L1A,Ethernet2,l3spine,SPL2,Ethernet3,True
leaf,L2L1A,Ethernet3,mlag_peer,L2L1B,Ethernet3,True
leaf,L2L1A,Ethernet4,mlag_peer,L2L1B,Ethernet4,True
leaf,L2L1B,Ethernet1,l3spine,SPL1,Ethernet4,True
leaf,L2L1B,Ethernet2,l3spine,SPL2,Ethernet4,True
leaf,L2L1B,Ethernet3,mlag_peer,L2L1A,Ethernet3,True
leaf,L2L1B,Ethernet4,mlag_peer,L2L1A,Ethernet4,True
leaf,L2L2A,Ethernet1,l3spine,SPL1,Ethernet5,True
leaf,L2L2A,Ethernet2,l3spine,SPL2,Ethernet5,True
leaf,L2L2A,Ethernet3,mlag_peer,L2L2B,Ethernet3,True
leaf,L2L2A,Ethernet4,mlag_peer,L2L2B,Ethernet4,True
leaf,L2L2B,Ethernet1,l3spine,SPL1,Ethernet6,True
leaf,L2L2B,Ethernet2,l3spine,SPL2,Ethernet6,True
leaf,L2L2B,Ethernet3,mlag_peer,L2L2A,Ethernet3,True
leaf,L2L2B,Ethernet4,mlag_peer,L2L2A,Ethernet4,True
l3spine,SPL1,Ethernet1,mlag_peer,SPL2,Ethernet1,True
l3spine,SPL1,Ethernet2,mlag_peer,SPL2,Ethernet2,True
l3spine,SPL1,Ethernet3,leaf,L2L1A,Ethernet1,True
l3spine,SPL1,Ethernet4,leaf,L2L1B,Ethernet1,True
l3spine,SPL1,Ethernet5,leaf,L2L2A,Ethernet1,True
l3spine,SPL1,Ethernet6,leaf,L2L2B,Ethernet1,True
l3spine,SPL2,Ethernet1,mlag_peer,SPL1,Ethernet1,True
l3spine,SPL2,Ethernet2,mlag_peer,SPL1,Ethernet2,True
l3spine,SPL2,Ethernet3,leaf,L2L1A,Ethernet2,True
l3spine,SPL2,Ethernet4,leaf,L2L1B,Ethernet2,True
l3spine,SPL2,Ethernet5,leaf,L2L2A,Ethernet2,True
l3spine,SPL2,Ethernet6,leaf,L2L2B,Ethernet2,True
