Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,EL1,Ethernet1,spine,S1,Ethernet1,True
l3leaf,EL1,Ethernet2,spine,S2,Ethernet1,True
l3leaf,EL1,Ethernet5,other,P1,Ethernet5,True
l3leaf,EL1,Ethernet6,other,RR1,Ethernet6,True
l3leaf,EL2,Ethernet1,spine,S1,Ethernet2,True
l3leaf,EL2,Ethernet2,spine,S2,Ethernet2,True
l3leaf,EL2,Ethernet5,other,RR1,Ethernet5,True
l3leaf,EL2,Ethernet6,other,P1,Ethernet6,True
l3leaf,L1A,Ethernet1,spine,S1,Ethernet3,True
l3leaf,L1A,Ethernet2,spine,S2,Ethernet3,True
l3leaf,L1A,Ethernet3,mlag_peer,L1B,Ethernet3,True
l3leaf,L1A,Ethernet4,mlag_peer,L1B,Ethernet4,True
l3leaf,L1B,Ethernet1,spine,S1,Ethernet4,True
l3leaf,L1B,Ethernet2,spine,S2,Ethernet4,True
l3leaf,L1B,Ethernet3,mlag_peer,L1A,Ethernet3,True
l3leaf,L1B,Ethernet4,mlag_peer,L1A,Ethernet4,True
l3leaf,L2A,Ethernet1,spine,S1,Ethernet5,True
l3leaf,L2A,Ethernet2,spine,S2,Ethernet5,True
l3leaf,L2A,Ethernet3,mlag_peer,L2B,Ethernet3,True
l3leaf,L2A,Ethernet4,mlag_peer,L2B,Ethernet4,True
l3leaf,L2B,Ethernet1,spine,S1,Ethernet6,True
l3leaf,L2B,Ethernet2,spine,S2,Ethernet6,True
l3leaf,L2B,Ethernet3,mlag_peer,L2A,Ethernet3,True
l3leaf,L2B,Ethernet4,mlag_peer,L2A,Ethernet4,True
spine,S1,Ethernet1,l3leaf,EL1,Ethernet1,True
spine,S1,Ethernet2,l3leaf,EL2,Ethernet1,True
spine,S1,Ethernet3,l3leaf,L1A,Ethernet1,True
spine,S1,Ethernet4,l3leaf,L1B,Ethernet1,True
spine,S1,Ethernet5,l3leaf,L2A,Ethernet1,True
spine,S1,Ethernet6,l3leaf,L2B,Ethernet1,True
spine,S2,Ethernet1,l3leaf,EL1,Ethernet2,True
spine,S2,Ethernet2,l3leaf,EL2,Ethernet2,True
spine,S2,Ethernet3,l3leaf,L1A,Ethernet2,True
spine,S2,Ethernet4,l3leaf,L1B,Ethernet2,True
spine,S2,Ethernet5,l3leaf,L2A,Ethernet2,True
spine,S2,Ethernet6,l3leaf,L2B,Ethernet2,True
