Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
p,P1,Ethernet1,100.70.100.1/31,pe,PE1,Ethernet1,100.70.100.0/31
p,P1,Ethernet2,100.70.100.3/31,pe,PE2,Ethernet2,100.70.100.2/31
p,P1,Ethernet3,100.70.100.4/31,p,P2,Ethernet3,100.70.100.5/31
p,P1,Ethernet4,100.70.100.6/31,rr,RR1,Ethernet4,100.70.100.7/31
p,P2,Ethernet1,100.70.100.26/31,pe,PE3,Ethernet1,100.70.100.27/31
p,P2,Ethernet4,100.70.100.24/31,rr,RR2,Ethernet4,100.70.100.25/31
p,P2,Ethernet5,100.70.100.22/31,pe,PE4,Ethernet5,100.70.100.23/31
pe,PE1,Ethernet2,100.70.100.12/31,rr,RR1,Ethernet2,100.70.100.13/31
pe,PE2,Ethernet1,100.70.100.14/31,rr,RR1,Ethernet1,100.70.100.15/31
pe,PE4,Ethernet6,100.70.100.32/31,pe,PE5,Ethernet6,100.70.100.33/31
pe,PE5,Ethernet5,100.70.100.29/31,rr,RR2,Ethernet5,100.70.100.28/31
rr,RR1,Ethernet3,100.70.100.16/31,rr,RR2,Ethernet3,100.70.100.17/31
rr,RR2,Ethernet2,100.70.100.30/31,pe,PE3,Ethernet2,172.16.12.0/31
